"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3890","Launch Sixstreer Homepage Tests","Microsoft Edge","2026-01-27","passed","2026-01-27","SixStreet Homepage Tests","web/ss-homepage.test.ts","",""
"","406","Launch Sixstreer Homepage Tests","chromium","2026-01-27","passed","2026-01-27","SixStreet Homepage Tests","web/ss-homepage.test.ts","",""
"","1236","Launch Sixstreer Homepage Tests","firefox","2026-01-27","passed","2026-01-27","SixStreet Homepage Tests","web/ss-homepage.test.ts","",""
"","6","Launch Sixstreer Homepage Tests","webkit","2026-01-27","failed","2026-01-27","SixStreet Homepage Tests","web/ss-homepage.test.ts","",""
